MA_100058g0010	AT4G32850
MA_100129g0010	AT1G73930
MA_10019946g0010	AT1G09640
MA_100211g0010	AT1G80830
MA_100287g0010	AT3G12770
MA_10032819g0010	AT4G02750
MA_100380g0010	AT1G24330
MA_100402g0010	AT4G02890
MA_10043102g0010	AT3G12110
MA_100472g0010	AT2G01420
MA_10048g0010	AT1G66340
MA_100519g0010	AT2G27610
MA_100568g0010	AT4G00740
MA_100585g0010	AT2G40980
MA_100606g0010	AT2G22070
MA_100608g0010	AT1G55270
MA_10074020g0010	AT5G67385
MA_100776g0010	AT3G03960
MA_10085364g0010	AT3G48730
MA_10090g0010	AT5G17920
MA_100975g0010	AT5G54510
MA_10105635g0010	AT1G78570
MA_101067g0010	AT3G52930
MA_101084g0010	AT1G11290
MA_101113g0020	AT4G11820
MA_101119g0010	AT1G11910
MA_101231g0010	AT5G23630
MA_101371g0010	AT5G48570
MA_101395g0010	AT3G62270
MA_10143217g0010	AT1G69040
MA_101553g0010	AT5G53890
MA_10156g0010	AT1G16780
MA_10157572g0010	AT3G12770
MA_10163020g0010	AT3G02360
MA_10164206g0010	AT1G11290
MA_101646g0010	AT4G37870
MA_101658g0010	AT3G48990
MA_10168585g0010	AT5G03340
MA_101691g0010	AT5G09220
MA_101764g0010	AT1G48100
MA_101786g0010	AT2G36200
MA_101793g0010	AT5G47810
MA_101803g0010	AT2G01830
MA_101812g0010	AT4G30190
MA_10185385g0010	AT5G64410
MA_10189019g0010	AT5G14640
MA_101915g0010	AT3G13080
MA_10195045g0020	AT4G29380
MA_10196428g0010	AT1G76160
MA_101964g0010	AT5G09590
MA_102060g0010	AT2G25540
MA_10213388g0010	AT2G37710
MA_10214098g0010	AT4G33170
MA_102148g0010	AT4G19860
MA_102149g0010	AT3G60750
MA_10215114g0010	AT1G79600
MA_102166g0020	AT5G63890
MA_102181g0010	AT4G02750
MA_10223g0010	AT3G50660
MA_10225541g0010	AT1G61850
MA_10226858g0010	AT3G14920
MA_102279g0010	AT1G07705
MA_10228148g0010	AT1G63850
MA_102288g0010	AT2G34250
MA_102296g0010	AT2G33570
MA_102312g0010	AT5G49720
MA_10235107g0010	AT2G19130
MA_10236360g0010	AT4G22010
MA_10239279g0010	AT2G42700
MA_10241783g0010	AT1G48930
